airlineIATA,destinationIATA,flightNumber,flightNature,flightTypeIATA,scheduleDate,scheduleHour,seatCapacity,sector,terminal,pax,loadFactor,warnings,Country,EU Status,CTA Status,AircraftSizeICAO,PaxLoadFactor,LocalPax,HasWarnings,LowLoadFactor,HighLoadFactor
FR,LIS,1883,A,J,2024-12-04,00:30:00,197,I,T1,200.94,1.02,Pax: Flight # has changed from 1885 to 1883,PORTUGAL,EU,NON CTA,C,1.02,200.94,True,False,True
ZT,LGW,664P,A,P,2024-12-04,06:45:00,0,D,T1,0,0,,GREAT BRITAIN,DOMESTIC,DOMESTIC,C,0,0,False,True,False
FR,PRG,1014,A,J,2024-12-04,07:00:00,189,I,T1,150.10026315789474,0.7941812865497077,,CZECH REPUBLIC,EU,NON CTA,C,0.7941812865497077,150.10026315789474,False,False,False
FR,RIX,1136,A,J,2024-12-04,07:00:00,189,I,T1,161.40900000000002,0.8540158730158731,Pax: 2 flights have been used for reference,LATVIA,EU,NON CTA,C,0.8540158730158731,161.40900000000002,True,False,False
FR,BER,144,A,J,2024-12-04,07:00:00,189,I,T1,174.384,0.9226666666666666,,GERMANY,EU,NON CTA,C,0.9226666666666666,174.384,False,False,False
FR,MAD,2629,A,J,2024-12-04,07:15:00,197,I,T1,200.94,1.02,,SPAIN,EU,NON CTA,C,1.02,200.94,False,False,True
U2,BFS,37,A,J,2024-12-04,07:20:00,195,D,T1,190.17722580645162,0.9752678246484698,Pax: Flight load factor is 30.3 percentage points greater than reference flight load factor,GREAT BRITAIN,DOMESTIC,DOMESTIC,C,0.9752678246484698,190.17722580645162,True,False,False
RK,EDI,597,A,J,2024-12-04,07:20:00,189,D,T1,181.64999999999998,0.961111111111111,,GREAT BRITAIN,DOMESTIC,DOMESTIC,C,0.961111111111111,181.64999999999998,False,False,False
FR,CGN,2353,A,J,2024-12-04,07:25:00,189,I,T1,188.68767512690357,0.9983474874439342,,GERMANY,EU,NON CTA,C,0.9983474874439342,188.68767512690357,False,False,False
FR,PMI,26,A,J,2024-12-04,07:25:00,186,I,T1,121.08462222222222,0.6509925925925926,Pax: Flight load factor is 32.3 percentage points lower than reference flight load factor,SPAIN,EU,NON CTA,C,0.6509925925925926,121.08462222222222,True,False,False
FR,OTP,1006,A,J,2024-12-04,07:25:00,189,I,T1,151.76578680203045,0.802993580963124,,ROMANIA,EU,NON CTA,C,0.802993580963124,151.76578680203045,False,False,False
FR,WRO,8406,A,J,2024-12-04,07:30:00,197,I,T1,200.18176000000003,1.0161510659898478,,POLAND,EU,NON CTA,C,1.0161510659898478,200.18176000000003,False,False,True
FR,ARN,4692,A,J,2024-12-04,07:35:00,189,I,T1,163.17500507614213,0.8633598152176832,,SWEDEN,EU,NON CTA,C,0.8633598152176832,163.17500507614213,False,False,False
